"produto","cidade_produto","pais_produto","data_inteira"
"Sir Rodney's Scones","Nantes","France","1997-07-24"
"Camembert Pierrot","Warszawa","Poland","1997-07-25"
"Chai","Warszawa","Poland","1997-07-25"
"Chang","Warszawa","Poland","1997-07-25"
"Inlagd Sill","Toulouse","France","1997-07-25"
"Camembert Pierrot","Boise","USA","1997-07-28"
"Ikura","Boise","USA","1997-07-28"
"Inlagd Sill","Boise","USA","1997-07-28"
"Lakkalikööri","Boise","USA","1997-07-28"
"Maxilaku","Boise","USA","1997-07-28"
"Chartreuse verte","Mannheim","Germany","1997-07-29"
"Konbu","San Cristóbal","Venezuela","1997-07-29"
"Queso Cabrales","Mannheim","Germany","1997-07-29"
"Rhönbräu Klosterbier","San Cristóbal","Venezuela","1997-07-29"
"Sir Rodney's Scones","Mannheim","Germany","1997-07-29"
"Pâté chinois","Helsinki","Finland","1997-07-30"
"Côte de Blaye","Eugene","USA","1997-07-31"
"Flotemysost","Eugene","USA","1997-07-31"
"Gnocchi di nonna Alice","Eugene","USA","1997-07-31"
"Outback Lager","Eugene","USA","1997-07-31"
"Raclette Courdavault","Eugene","USA","1997-07-31"
"Gnocchi di nonna Alice","Montréal","Canada","1997-08-01"
"Grandma's Boysenberry Spread","Montréal","Canada","1997-08-01"
"Scottish Longbreads","Montréal","Canada","1997-08-01"
"Gustaf's Knäckebröd","Montréal","Canada","1997-08-04"
"Sir Rodney's Scones","Montréal","Canada","1997-08-04"
"Filo Mix","Vancouver","Canada","1997-08-05"
"Flotemysost","Cowes","UK","1997-08-05"
"Guaraná Fantástica","Vancouver","Canada","1997-08-05"
"Outback Lager","Cowes","UK","1997-08-05"
"Teatime Chocolate Biscuits","Cowes","UK","1997-08-05"
"Tunnbröd","Cowes","UK","1997-08-05"
"Chang","Rio de Janeiro","Brazil","1997-08-06"
"Scottish Longbreads","Rio de Janeiro","Brazil","1997-08-06"
"Guaraná Fantástica","München","Germany","1997-08-07"
"Gula Malacca","Butte","USA","1997-08-07"
"Rössle Sauerkraut","Butte","USA","1997-08-07"
"Sir Rodney's Scones","München","Germany","1997-08-07"
"Steeleye Stout","München","Germany","1997-08-07"
"Teatime Chocolate Biscuits","München","Germany","1997-08-07"
"Thüringer Rostbratwurst","Butte","USA","1997-08-07"
"Tofu","München","Germany","1997-08-07"
"Camembert Pierrot","México D.F.","Mexico","1997-08-08"
"Singaporean Hokkien Fried Mee","México D.F.","Mexico","1997-08-08"
"Tofu","México D.F.","Mexico","1997-08-08"
"Camembert Pierrot","Luleå","Sweden","1997-08-11"
"Flotemysost","Luleå","Sweden","1997-08-11"
"Perth Pasties","Luleå","Sweden","1997-08-11"
"Röd Kaviar","Boise","USA","1997-08-11"
"Tarte au sucre","Boise","USA","1997-08-11"
"Chai","Strasbourg","France","1997-08-12"
"Thüringer Rostbratwurst","Sevilla","Spain","1997-08-12"
"Wimmers gute Semmelknödel","Sevilla","Spain","1997-08-12"
"Lakkalikööri","Brandenburg","Germany","1997-08-13"
"Pâté chinois","Brandenburg","Germany","1997-08-13"
"Chang","Stuttgart","Germany","1997-08-14"
"Geitost","Stuttgart","Germany","1997-08-14"
"Rhönbräu Klosterbier","Toulouse","France","1997-08-14"
"Carnarvon Tigers","Lille","France","1997-08-15"
"Gumbär Gummibärchen","Graz","Austria","1997-08-15"
"Konbu","Graz","Austria","1997-08-15"
"Manjimup Dried Apples","Lille","France","1997-08-15"
"Queso Manchego La Pastora","Graz","Austria","1997-08-15"
"Rhönbräu Klosterbier","Lille","France","1997-08-15"
"Tarte au sucre","Graz","Austria","1997-08-15"
"Uncle Bob's Organic Dried Pears","Lille","France","1997-08-15"
"Chef Anton's Cajun Seasoning","Bergamo","Italy","1997-08-18"
"Chef Anton's Gumbo Mix","Bergamo","Italy","1997-08-18"
"Gustaf's Knäckebröd","Bergamo","Italy","1997-08-18"
"Chef Anton's Cajun Seasoning","Oulu","Finland","1997-08-19"
"Escargots de Bourgogne","Oulu","Finland","1997-08-19"
"Gnocchi di nonna Alice","Sao Paulo","Brazil","1997-08-19"
"Queso Cabrales","Sao Paulo","Brazil","1997-08-19"
"Valkoinen suklaa","Sao Paulo","Brazil","1997-08-19"
"Carnarvon Tigers","Stavern","Norway","1997-08-20"
"Louisiana Fiery Hot Pepper Sauce","I. de Margarita","Venezuela","1997-08-20"
"Mozzarella di Giovanni","I. de Margarita","Venezuela","1997-08-20"
"Rogede sild","I. de Margarita","Venezuela","1997-08-20"
"Gudbrandsdalsost","Stuttgart","Germany","1997-08-21"
"Outback Lager","Stuttgart","Germany","1997-08-21"
"Boston Crab Meat","San Cristóbal","Venezuela","1997-08-22"
"Chang","San Cristóbal","Venezuela","1997-08-22"
"Sir Rodney's Scones","Kobenhavn","Denmark","1997-08-22"
"Sirop d'érable","Kobenhavn","Denmark","1997-08-22"
"Carnarvon Tigers","Resende","Brazil","1997-08-25"
"Chartreuse verte","Berlin","Germany","1997-08-25"
"Ipoh Coffee","Resende","Brazil","1997-08-25"
"Rössle Sauerkraut","Berlin","Germany","1997-08-25"
"Spegesild","Berlin","Germany","1997-08-25"
"Spegesild","Resende","Brazil","1997-08-25"
"Carnarvon Tigers","Rio de Janeiro","Brazil","1997-08-26"
"Inlagd Sill","Rio de Janeiro","Brazil","1997-08-26"
"Chai","Cork","Ireland","1997-08-27"
"Chartreuse verte","Rio de Janeiro","Brazil","1997-08-27"
"Flotemysost","Cork","Ireland","1997-08-27"
"Ikura","Cork","Ireland","1997-08-27"
"Original Frankfurter grüne Soße","Cork","Ireland","1997-08-27"
"Teatime Chocolate Biscuits","Rio de Janeiro","Brazil","1997-08-27"
"Guaraná Fantástica","Rio de Janeiro","Brazil","1997-08-28"
"Gustaf's Knäckebröd","Rio de Janeiro","Brazil","1997-08-28"
"Mozzarella di Giovanni","Bruxelles","Belgium","1997-08-28"
"Rössle Sauerkraut","Bruxelles","Belgium","1997-08-28"
"Nord-Ost Matjeshering","Sao Paulo","Brazil","1997-08-29"
"Perth Pasties","Sao Paulo","Brazil","1997-08-29"
"Tourtière","Sao Paulo","Brazil","1997-08-29"
"Gustaf's Knäckebröd","Stuttgart","Germany","1997-09-01"
"Nord-Ost Matjeshering","Campinas","Brazil","1997-09-01"
"Singaporean Hokkien Fried Mee","Campinas","Brazil","1997-09-01"
"Teatime Chocolate Biscuits","Stuttgart","Germany","1997-09-01"
"Camembert Pierrot","München","Germany","1997-09-02"
"Chartreuse verte","Luleå","Sweden","1997-09-02"
"Chef Anton's Cajun Seasoning","Luleå","Sweden","1997-09-02"
"Pavlova","München","Germany","1997-09-02"
"Tourtière","Luleå","Sweden","1997-09-02"
"Jack's New England Clam Chowder","Reggio Emilia","Italy","1997-09-03"
"Camembert Pierrot","Boise","USA","1997-09-04"
"Genen Shouyu","Boise","USA","1997-09-04"
"Gnocchi di nonna Alice","Boise","USA","1997-09-04"
"Gula Malacca","Eugene","USA","1997-09-04"
"Jack's New England Clam Chowder","Boise","USA","1997-09-04"
"Spegesild","Boise","USA","1997-09-04"
"Tofu","Eugene","USA","1997-09-04"
"Zaanse koeken","Boise","USA","1997-09-04"
"Zaanse koeken","Eugene","USA","1997-09-04"
"Boston Crab Meat","Cunewalde","Germany","1997-09-05"
"Boston Crab Meat","Sao Paulo","Brazil","1997-09-05"
"Camembert Pierrot","Cunewalde","Germany","1997-09-05"
"Gorgonzola Telino","Sao Paulo","Brazil","1997-09-05"
"Original Frankfurter grüne Soße","Cunewalde","Germany","1997-09-05"
"Outback Lager","Sao Paulo","Brazil","1997-09-05"
"Sir Rodney's Scones","Cunewalde","Germany","1997-09-05"
"Sir Rodney's Marmalade","Elgin","USA","1997-09-08"
"Chartreuse verte","Cork","Ireland","1997-09-09"
"Escargots de Bourgogne","Cork","Ireland","1997-09-09"
"Scottish Longbreads","Portland","USA","1997-09-09"
"Boston Crab Meat","Marseille","France","1997-09-10"
"Gnocchi di nonna Alice","Lisboa","Portugal","1997-09-10"
"Ikura","Lisboa","Portugal","1997-09-10"
"Louisiana Fiery Hot Pepper Sauce","Lisboa","Portugal","1997-09-10"
"Manjimup Dried Apples","Marseille","France","1997-09-10"
"Singaporean Hokkien Fried Mee","Marseille","France","1997-09-10"
"Lakkalikööri","Portland","USA","1997-09-11"
"Manjimup Dried Apples","Portland","USA","1997-09-11"
"Raclette Courdavault","Portland","USA","1997-09-11"
"Flotemysost","Graz","Austria","1997-09-12"
"Gudbrandsdalsost","Graz","Austria","1997-09-12"
"Louisiana Fiery Hot Pepper Sauce","Genève","Switzerland","1997-09-12"
"Thüringer Rostbratwurst","Genève","Switzerland","1997-09-12"
"Gorgonzola Telino","Stuttgart","Germany","1997-09-15"
"Inlagd Sill","Kobenhavn","Denmark","1997-09-15"
"Pâté chinois","Stuttgart","Germany","1997-09-15"
"Wimmers gute Semmelknödel","Stuttgart","Germany","1997-09-15"
"Laughing Lumberjack Lager","München","Germany","1997-09-16"
"Rhönbräu Klosterbier","München","Germany","1997-09-16"
"Röd Kaviar","München","Germany","1997-09-16"
"Spegesild","München","Germany","1997-09-16"
"Tunnbröd","München","Germany","1997-09-16"
"Côte de Blaye","Luleå","Sweden","1997-09-17"
"Flotemysost","Luleå","Sweden","1997-09-17"
"Louisiana Fiery Hot Pepper Sauce","Nantes","France","1997-09-17"
"Pavlova","Nantes","France","1997-09-17"
"Tarte au sucre","Nantes","France","1997-09-17"
"Ipoh Coffee","Helsinki","Finland","1997-09-18"
"Pavlova","Helsinki","Finland","1997-09-18"
"Singaporean Hokkien Fried Mee","Helsinki","Finland","1997-09-18"
"Tunnbröd","Cowes","UK","1997-09-18"
"Escargots de Bourgogne","München","Germany","1997-09-19"
"Perth Pasties","München","Germany","1997-09-19"
"Tofu","München","Germany","1997-09-19"
"Geitost","México D.F.","Mexico","1997-09-22"
"Gula Malacca","México D.F.","Mexico","1997-09-22"
"Gumbär Gummibärchen","México D.F.","Mexico","1997-09-22"
"Ikura","México D.F.","Mexico","1997-09-22"
"Teatime Chocolate Biscuits","México D.F.","Mexico","1997-09-22"
"Geitost","Boise","USA","1997-09-23"
"Jack's New England Clam Chowder","Boise","USA","1997-09-23"
"Queso Manchego La Pastora","Boise","USA","1997-09-23"
"Raclette Courdavault","Strasbourg","France","1997-09-23"
"Tourtière","Boise","USA","1997-09-23"
"Gorgonzola Telino","Anchorage","USA","1997-09-24"
"Pavlova","Anchorage","USA","1997-09-24"
"Singaporean Hokkien Fried Mee","Anchorage","USA","1997-09-24"
"Geitost","México D.F.","Mexico","1997-09-25"
"Louisiana Hot Spiced Okra","México D.F.","Mexico","1997-09-25"
"Rhönbräu Klosterbier","México D.F.","Mexico","1997-09-25"
"Sir Rodney's Scones","Eugene","USA","1997-09-25"
"Teatime Chocolate Biscuits","Eugene","USA","1997-09-25"
"Wimmers gute Semmelknödel","Eugene","USA","1997-09-25"
"Boston Crab Meat","Köln","Germany","1997-09-26"
"Camembert Pierrot","Köln","Germany","1997-09-26"
"Filo Mix","Nantes","France","1997-09-26"
"Zaanse koeken","Köln","Germany","1997-09-26"
"Ikura","Campinas","Brazil","1997-09-29"
"Jack's New England Clam Chowder","Campinas","Brazil","1997-09-29"
"Zaanse koeken","Campinas","Brazil","1997-09-29"
"Alice Mutton","Salzburg","Austria","1997-09-30"
"Gumbär Gummibärchen","Salzburg","Austria","1997-09-30"
"Inlagd Sill","Cork","Ireland","1997-09-30"
"Mishi Kobe Niku","Cork","Ireland","1997-09-30"
"Thüringer Rostbratwurst","Cork","Ireland","1997-09-30"
"Chai","Luleå","Sweden","1997-10-01"
"Ikura","Århus","Denmark","1997-10-01"
"Rössle Sauerkraut","Århus","Denmark","1997-10-01"
"Sasquatch Ale","Århus","Denmark","1997-10-01"
"Gnocchi di nonna Alice","Rio de Janeiro","Brazil","1997-10-02"
"Original Frankfurter grüne Soße","Rio de Janeiro","Brazil","1997-10-02"
"Chai","Cunewalde","Germany","1997-10-03"
"Gula Malacca","Cunewalde","Germany","1997-10-03"
"Ipoh Coffee","Cunewalde","Germany","1997-10-03"
"Tarte au sucre","Cunewalde","Germany","1997-10-03"
"Thüringer Rostbratwurst","Cunewalde","Germany","1997-10-03"
"Vegie-spread","Berlin","Germany","1997-10-03"
"Gudbrandsdalsost","Seattle","USA","1997-10-06"
"Mishi Kobe Niku","Seattle","USA","1997-10-06"
"Outback Lager","Cunewalde","Germany","1997-10-06"
"Raclette Courdavault","Cunewalde","Germany","1997-10-06"
"Röd Kaviar","Seattle","USA","1997-10-06"
"Tourtière","Seattle","USA","1997-10-06"
"Uncle Bob's Organic Dried Pears","Cunewalde","Germany","1997-10-06"
"Guaraná Fantástica","Helsinki","Finland","1997-10-07"
"Northwoods Cranberry Sauce","Helsinki","Finland","1997-10-07"
"Queso Manchego La Pastora","Helsinki","Finland","1997-10-07"
"Alice Mutton","Seattle","USA","1997-10-08"
"Escargots de Bourgogne","I. de Margarita","Venezuela","1997-10-08"
"Outback Lager","I. de Margarita","Venezuela","1997-10-08"
"Spegesild","Seattle","USA","1997-10-08"
"Steeleye Stout","I. de Margarita","Venezuela","1997-10-08"
"Teatime Chocolate Biscuits","I. de Margarita","Venezuela","1997-10-08"
"Alice Mutton","Graz","Austria","1997-10-09"
"Louisiana Fiery Hot Pepper Sauce","Graz","Austria","1997-10-09"
"Outback Lager","Graz","Austria","1997-10-09"
"Queso Cabrales","Graz","Austria","1997-10-09"
"Thüringer Rostbratwurst","Graz","Austria","1997-10-09"
"Zaanse koeken","Leipzig","Germany","1997-10-09"
"Chai","Boise","USA","1997-10-10"
"Flotemysost","Boise","USA","1997-10-10"
"Sasquatch Ale","Boise","USA","1997-10-10"
"Scottish Longbreads","Boise","USA","1997-10-10"
"Aniseed Syrup","Berlin","Germany","1997-10-13"
"Flotemysost","Cork","Ireland","1997-10-13"
"Lakkalikööri","Berlin","Germany","1997-10-13"
"Lakkalikööri","Cork","Ireland","1997-10-13"
"Raclette Courdavault","Cork","Ireland","1997-10-13"
"Chang","Bräcke","Sweden","1997-10-14"
"Chef Anton's Cajun Seasoning","Sao Paulo","Brazil","1997-10-14"
"Chocolade","Sao Paulo","Brazil","1997-10-14"
"Guaraná Fantástica","Sao Paulo","Brazil","1997-10-14"
"Raclette Courdavault","Bräcke","Sweden","1997-10-14"
"Röd Kaviar","Bräcke","Sweden","1997-10-14"
"Gorgonzola Telino","San Cristóbal","Venezuela","1997-10-15"
"Mascarpone Fabioli","San Cristóbal","Venezuela","1997-10-15"
"Ipoh Coffee","Anchorage","USA","1997-10-16"
"Outback Lager","Colchester","UK","1997-10-16"
"Pâté chinois","Colchester","UK","1997-10-16"
"Pavlova","Anchorage","USA","1997-10-16"
"Raclette Courdavault","Anchorage","USA","1997-10-16"
"Ravioli Angelo","Colchester","UK","1997-10-16"
"Camembert Pierrot","Campinas","Brazil","1997-10-17"
"Chef Anton's Gumbo Mix","Portland","USA","1997-10-17"
"Inlagd Sill","Portland","USA","1997-10-17"
"Manjimup Dried Apples","Campinas","Brazil","1997-10-17"
"Northwoods Cranberry Sauce","Campinas","Brazil","1997-10-17"
"Teatime Chocolate Biscuits","Torino","Italy","1997-10-20"
"Zaanse koeken","Torino","Italy","1997-10-20"
"Gnocchi di nonna Alice","Cork","Ireland","1997-10-21"
"Jack's New England Clam Chowder","Boise","USA","1997-10-21"
"Perth Pasties","Boise","USA","1997-10-21"
"Perth Pasties","Cork","Ireland","1997-10-21"
"Teatime Chocolate Biscuits","Boise","USA","1997-10-21"
"Alice Mutton","Boise","USA","1997-10-22"
"Chang","Boise","USA","1997-10-22"
"Escargots de Bourgogne","Boise","USA","1997-10-22"
"Gnocchi di nonna Alice","Boise","USA","1997-10-22"
"Gumbär Gummibärchen","Boise","USA","1997-10-22"
"Ikura","Boise","USA","1997-10-22"
"Rogede sild","Boise","USA","1997-10-22"
"Spegesild","Boise","USA","1997-10-22"
"Zaanse koeken","Boise","USA","1997-10-22"
"Flotemysost","Marseille","France","1997-10-23"
"Ikura","Marseille","France","1997-10-23"
"Gudbrandsdalsost","München","Germany","1997-10-24"
"Manjimup Dried Apples","Buenos Aires","Argentina","1997-10-24"
"Sir Rodney's Scones","Buenos Aires","Argentina","1997-10-24"
"Sir Rodney's Scones","München","Germany","1997-10-24"
"Sirop d'érable","Buenos Aires","Argentina","1997-10-24"
"Tourtière","München","Germany","1997-10-24"
"Carnarvon Tigers","San Francisco","USA","1997-10-27"
"Inlagd Sill","Brandenburg","Germany","1997-10-27"
"Nord-Ost Matjeshering","San Francisco","USA","1997-10-27"
"Pavlova","Brandenburg","Germany","1997-10-27"
"Queso Manchego La Pastora","Brandenburg","Germany","1997-10-27"
"Tarte au sucre","Brandenburg","Germany","1997-10-27"
"Tourtière","San Francisco","USA","1997-10-27"
"Flotemysost","Rio de Janeiro","Brazil","1997-10-28"
"Steeleye Stout","Rio de Janeiro","Brazil","1997-10-28"
"Chang","Boise","USA","1997-10-29"
"Gorgonzola Telino","Boise","USA","1997-10-29"
"Gula Malacca","Cunewalde","Germany","1997-10-29"
"Rhönbräu Klosterbier","Boise","USA","1997-10-29"
"Scottish Longbreads","Boise","USA","1997-10-29"
"Gumbär Gummibärchen","Seattle","USA","1997-10-30"
"Ikura","Montréal","Canada","1997-10-30"
"Sirop d'érable","Montréal","Canada","1997-10-30"
"Filo Mix","Sao Paulo","Brazil","1997-10-31"
"Jack's New England Clam Chowder","Sao Paulo","Brazil","1997-10-31"
"Pâté chinois","Sao Paulo","Brazil","1997-10-31"
"Alice Mutton","Reggio Emilia","Italy","1997-11-03"
"Chef Anton's Cajun Seasoning","London","UK","1997-11-03"
"Gnocchi di nonna Alice","Reggio Emilia","Italy","1997-11-03"
"Queso Cabrales","London","UK","1997-11-03"
"Raclette Courdavault","Reggio Emilia","Italy","1997-11-03"
"Boston Crab Meat","Sao Paulo","Brazil","1997-11-04"
"Camembert Pierrot","Sao Paulo","Brazil","1997-11-04"
"Chai","I. de Margarita","Venezuela","1997-11-04"
"Nord-Ost Matjeshering","Sao Paulo","Brazil","1997-11-04"
"Pâté chinois","Sao Paulo","Brazil","1997-11-04"
"Sir Rodney's Scones","I. de Margarita","Venezuela","1997-11-04"
"Valkoinen suklaa","I. de Margarita","Venezuela","1997-11-04"
"Gorgonzola Telino","Marseille","France","1997-11-05"
"Louisiana Fiery Hot Pepper Sauce","Marseille","France","1997-11-05"
"Pavlova","Marseille","France","1997-11-05"
"Lakkalikööri","Marseille","France","1997-11-06"
"Manjimup Dried Apples","Bern","Switzerland","1997-11-06"
"Sir Rodney's Scones","Bern","Switzerland","1997-11-06"
"Filo Mix","Luleå","Sweden","1997-11-07"
"Grandma's Boysenberry Spread","Campinas","Brazil","1997-11-07"
"Lakkalikööri","Campinas","Brazil","1997-11-07"
"Nord-Ost Matjeshering","Campinas","Brazil","1997-11-07"
"Rössle Sauerkraut","Luleå","Sweden","1997-11-07"
"Tofu","Luleå","Sweden","1997-11-07"
"Original Frankfurter grüne Soße","San Francisco","USA","1997-11-10"
"Sirop d'érable","San Francisco","USA","1997-11-10"
"Jack's New England Clam Chowder","Reims","France","1997-11-11"
"Konbu","Reims","France","1997-11-11"
"Louisiana Fiery Hot Pepper Sauce","Cork","Ireland","1997-11-11"
"Rhönbräu Klosterbier","Cork","Ireland","1997-11-11"
"Filo Mix","Reims","France","1997-11-12"
"Inlagd Sill","Reims","France","1997-11-12"
"Pavlova","Paris","France","1997-11-12"
"Gnocchi di nonna Alice","Seattle","USA","1997-11-13"
"Rogede sild","Seattle","USA","1997-11-13"
"Rössle Sauerkraut","Seattle","USA","1997-11-13"
"Steeleye Stout","Seattle","USA","1997-11-13"
"Aniseed Syrup","Tsawassen","Canada","1997-11-14"
"Camembert Pierrot","Tsawassen","Canada","1997-11-14"
"Chang","Colchester","UK","1997-11-14"
"Mozzarella di Giovanni","Tsawassen","Canada","1997-11-14"
"Boston Crab Meat","Århus","Denmark","1997-11-17"
"Spegesild","Colchester","UK","1997-11-17"
"Carnarvon Tigers","Cunewalde","Germany","1997-11-18"
"Gula Malacca","Cunewalde","Germany","1997-11-18"
"Mozzarella di Giovanni","Cunewalde","Germany","1997-11-18"
"Raclette Courdavault","Cunewalde","Germany","1997-11-18"
"Gorgonzola Telino","Salzburg","Austria","1997-11-19"
"Gudbrandsdalsost","Bern","Switzerland","1997-11-19"
"Gudbrandsdalsost","Salzburg","Austria","1997-11-19"
"Jack's New England Clam Chowder","Salzburg","Austria","1997-11-19"
"Konbu","Bern","Switzerland","1997-11-19"
"Singaporean Hokkien Fried Mee","Bern","Switzerland","1997-11-19"
"Tarte au sucre","Bern","Switzerland","1997-11-19"
"Vegie-spread","Salzburg","Austria","1997-11-19"
"Boston Crab Meat","Boise","USA","1997-11-20"
"Gnocchi di nonna Alice","Boise","USA","1997-11-20"
"Gnocchi di nonna Alice","Cowes","UK","1997-11-20"
"Lakkalikööri","Cowes","UK","1997-11-20"
"Raclette Courdavault","Cowes","UK","1997-11-20"
"Tunnbröd","Boise","USA","1997-11-20"
"Raclette Courdavault","Oulu","Finland","1997-11-21"
"Rogede sild","Oulu","Finland","1997-11-21"
"Tofu","Oulu","Finland","1997-11-21"
"Chai","London","UK","1997-11-24"
"Gudbrandsdalsost","London","UK","1997-11-24"
"Gumbär Gummibärchen","Genève","Switzerland","1997-11-24"
"Nord-Ost Matjeshering","Genève","Switzerland","1997-11-24"
"Röd Kaviar","Genève","Switzerland","1997-11-24"
"Valkoinen suklaa","Genève","Switzerland","1997-11-24"
"Boston Crab Meat","Bergamo","Italy","1997-11-25"
"Longlife Tofu","Torino","Italy","1997-11-25"
"Rogede sild","Torino","Italy","1997-11-25"
"Gnocchi di nonna Alice","Marseille","France","1997-11-26"
"Gudbrandsdalsost","Marseille","France","1997-11-26"
"Ravioli Angelo","Marseille","France","1997-11-26"
"Zaanse koeken","Marseille","France","1997-11-26"
"Carnarvon Tigers","Lander","USA","1997-11-27"
"Gudbrandsdalsost","Lander","USA","1997-11-27"
"Inlagd Sill","Lander","USA","1997-11-27"
"Raclette Courdavault","Boise","USA","1997-11-27"
"Sasquatch Ale","Boise","USA","1997-11-27"
"Scottish Longbreads","Lander","USA","1997-11-27"
"Tarte au sucre","Boise","USA","1997-11-27"
"Wimmers gute Semmelknödel","Boise","USA","1997-11-27"
"Filo Mix","Genève","Switzerland","1997-11-28"
"Gumbär Gummibärchen","Genève","Switzerland","1997-11-28"
"Mascarpone Fabioli","México D.F.","Mexico","1997-11-28"
"Outback Lager","Genève","Switzerland","1997-11-28"
"Ipoh Coffee","Bruxelles","Belgium","1997-12-01"
"NuNuCa Nuß-Nougat-Creme","Bruxelles","Belgium","1997-12-01"
"Schoggi Schokolade","Bruxelles","Belgium","1997-12-01"
"Chartreuse verte","Bräcke","Sweden","1997-12-02"
"Gnocchi di nonna Alice","Bräcke","Sweden","1997-12-02"
"Manjimup Dried Apples","Bräcke","Sweden","1997-12-02"
"NuNuCa Nuß-Nougat-Creme","Albuquerque","USA","1997-12-02"
"Rhönbräu Klosterbier","Albuquerque","USA","1997-12-02"
"Zaanse koeken","Bräcke","Sweden","1997-12-02"
"Aniseed Syrup","Graz","Austria","1997-12-03"
"Chartreuse verte","Graz","Austria","1997-12-03"
"Guaraná Fantástica","Lille","France","1997-12-03"
"Gustaf's Knäckebröd","Lille","France","1997-12-03"
"Sir Rodney's Scones","Lille","France","1997-12-03"
"Louisiana Fiery Hot Pepper Sauce","Cunewalde","Germany","1997-12-04"
"Chang","Köln","Germany","1997-12-05"
"Scottish Longbreads","Köln","Germany","1997-12-05"
"Singaporean Hokkien Fried Mee","Charleroi","Belgium","1997-12-05"
"Uncle Bob's Organic Dried Pears","Köln","Germany","1997-12-05"
"Camembert Pierrot","Colchester","UK","1997-12-08"
"Filo Mix","Århus","Denmark","1997-12-08"
"Flotemysost","Colchester","UK","1997-12-08"
"Gorgonzola Telino","Colchester","UK","1997-12-08"
"Gustaf's Knäckebröd","Colchester","UK","1997-12-08"
"Jack's New England Clam Chowder","Århus","Denmark","1997-12-08"
"Sirop d'érable","Århus","Denmark","1997-12-08"
"Tarte au sucre","Århus","Denmark","1997-12-08"
"Queso Cabrales","Rio de Janeiro","Brazil","1997-12-09"
"Flotemysost","Graz","Austria","1997-12-10"
"Raclette Courdavault","Frankfurt a.M.","Germany","1997-12-10"
"Thüringer Rostbratwurst","Frankfurt a.M.","Germany","1997-12-10"
"Alice Mutton","Graz","Austria","1997-12-11"
"Gorgonzola Telino","Bräcke","Sweden","1997-12-11"
"Gorgonzola Telino","Graz","Austria","1997-12-11"
"Louisiana Hot Spiced Okra","Bräcke","Sweden","1997-12-11"
"Rhönbräu Klosterbier","Graz","Austria","1997-12-11"
"Ikura","Butte","USA","1997-12-12"
"Laughing Lumberjack Lager","Butte","USA","1997-12-12"
"Gorgonzola Telino","Graz","Austria","1997-12-15"
"Manjimup Dried Apples","Graz","Austria","1997-12-15"
"Rogede sild","Graz","Austria","1997-12-15"
"Singaporean Hokkien Fried Mee","Campinas","Brazil","1997-12-15"
"Singaporean Hokkien Fried Mee","Graz","Austria","1997-12-15"
"Jack's New England Clam Chowder","Luleå","Sweden","1997-12-16"
"Original Frankfurter grüne Soße","Barquisimeto","Venezuela","1997-12-16"
"Outback Lager","Barquisimeto","Venezuela","1997-12-16"
"Pavlova","Leipzig","Germany","1997-12-16"
"Tarte au sucre","Leipzig","Germany","1997-12-16"
"Gnocchi di nonna Alice","Oulu","Finland","1997-12-17"
"Gorgonzola Telino","Buenos Aires","Argentina","1997-12-17"
"Longlife Tofu","Oulu","Finland","1997-12-17"
"Tourtière","Oulu","Finland","1997-12-17"
"Chartreuse verte","Bergamo","Italy","1997-12-18"
"Côte de Blaye","Rio de Janeiro","Brazil","1997-12-18"
"Gorgonzola Telino","Rio de Janeiro","Brazil","1997-12-18"
"Ikura","Caracas","Venezuela","1997-12-18"
"Inlagd Sill","Bergamo","Italy","1997-12-18"
"Mozzarella di Giovanni","Bergamo","Italy","1997-12-18"
"Rhönbräu Klosterbier","Caracas","Venezuela","1997-12-18"
"Chang","Toulouse","France","1997-12-19"
"Nord-Ost Matjeshering","Sao Paulo","Brazil","1997-12-19"
"Northwoods Cranberry Sauce","Sao Paulo","Brazil","1997-12-19"
"Rhönbräu Klosterbier","Sao Paulo","Brazil","1997-12-19"
"Thüringer Rostbratwurst","Toulouse","France","1997-12-19"
"Carnarvon Tigers","Lille","France","1997-12-22"
"Gnocchi di nonna Alice","Campinas","Brazil","1997-12-22"
"Rhönbräu Klosterbier","Cunewalde","Germany","1997-12-22"
"Scottish Longbreads","Lille","France","1997-12-22"
"Steeleye Stout","Lille","France","1997-12-22"
"Teatime Chocolate Biscuits","Cunewalde","Germany","1997-12-22"
"Uncle Bob's Organic Dried Pears","Campinas","Brazil","1997-12-22"
"Vegie-spread","Lille","France","1997-12-22"
"Chang","Warszawa","Poland","1997-12-23"
"Jack's New England Clam Chowder","München","Germany","1997-12-23"
"Scottish Longbreads","Warszawa","Poland","1997-12-23"
"Thüringer Rostbratwurst","München","Germany","1997-12-23"
"Tourtière","Warszawa","Poland","1997-12-23"
"Alice Mutton","Graz","Austria","1997-12-24"
"Filo Mix","Colchester","UK","1997-12-24"
"Jack's New England Clam Chowder","Colchester","UK","1997-12-24"
"Pavlova","Graz","Austria","1997-12-24"
"Tofu","Rio de Janeiro","Brazil","1997-12-24"
"Tourtière","Rio de Janeiro","Brazil","1997-12-24"
"Gudbrandsdalsost","San Cristóbal","Venezuela","1997-12-25"
"Gula Malacca","San Cristóbal","Venezuela","1997-12-25"
"Gumbär Gummibärchen","San Cristóbal","Venezuela","1997-12-25"
"Queso Cabrales","Aachen","Germany","1997-12-25"
"Wimmers gute Semmelknödel","San Cristóbal","Venezuela","1997-12-25"
